Brand,Product Count,Categories,Has Affiliate Program,Priority,Sample Products
"NORD Gear Ltd",690,"ETL Technology",No,High,"Asynchronous IE4 motor (230V); Asynchronous IE4 motor (230V); Asynchronous IE4 motor (230V); Asynchronous IE4 motor (230V); Asynchronous IE4 motor (230V)"
"ABB Ltd",468,"ETL Technology",No,High,"3BP4 - Process Performance Super Premium Efficiency; 3BP4 - Process Performance Super Premium Efficiency; 3BP4 - Process Performance Super Premium Efficiency; 3BP4 - Process Performance Super Premium Efficiency; 3BP4 - Process Performance Super Premium Efficiency"
"Evapco Europe NV",400,"ETL Technology",No,High,"Forced Draft Axial Condenser; Forced Draft Axial Condenser; Forced Draft Axial Condenser; Forced Draft Axial Condenser; Forced Draft Axial Condenser"
"WEG Electric Motors (UK) Ltd",371,"ETL Technology",No,High,"CFW-11 Series Frequency Inverters; CFW-11 Series Frequency Inverters; CFW-11 Series Frequency Inverters; CFW-11 Series Frequency Inverters; CFW-11 Series Frequency Inverters"
"Invertek Drives Ltd",331,"ETL Technology",No,High,"Optidrive E3; Optidrive E3; Optidrive E3; Optidrive E3; Optidrive E3"
"Danfoss Ltd",263,"ETL Technology",No,High,"AK-CC55 Compact; AK-CC55 Multi Coil; AK-CC55 Single Coil; AK-CC55 Single Coil UI; AK-CC550"
"Schneider Electric Ltd",249,"ETL Technology",No,High,"ATV212 0.75KW 480V 3PH EMC A IP55; ATV212 0.75KW 480V 3PH EMC B IP55; ATV212 1.5KW 480V 3PH EMC A IP55; ATV212 1.5KW 480V 3PH EMC B IP55; ATV212 11KW 480V 3PH EMC A IP55"
"Emerson Industrial Automation - Control techniques - Leroy Somer",199,"ETL Technology",No,High,"Unidrive M; Unidrive M; Unidrive M; Unidrive M; Unidrive M"
"Eaton Electrical Limited",173,"ETL Technology",No,High,"DA20C; DA20C; DA20C; DA20C; DA20C"
"Vacon Drives UK Ltd",137,"ETL Technology",No,High,"NXC; NXC; NXC; NXC; NXC"
"Jaeggi Hybridtechnology Ltd",133,"ETL Technology",No,High,"Hybrid Dry Cooler; Hybrid Dry Cooler; Hybrid Dry Cooler; Hybrid Dry Cooler; Hybrid Dry Cooler"
"KNAUF INSULATION LIMITED",128,"ETL Technology",No,High,"Thermo-teK PS PRO ALU - 114x100x1200 (NDSH); Thermo-teK PS PRO ALU - 114x30x1200 (CWP-Table10-5°C); Thermo-teK PS PRO ALU - 114x40x1200 (CWP-Table10-0°C); Thermo-teK PS PRO ALU - 114x40x1200 (CWP-Table11-0°C); Thermo-teK PS PRO ALU - 114x40x1200 (CWP-Table11-5°C)"
"Kenfield  Ltd",99,"ETL Technology",No,High,"K-Flex Energy Strip; K-Flex Energy Strip; K-Flex Energy Strip; K-Flex Energy Strip; K-Flex Energy Strip"
"Grundfos Pumps Ltd",92,"ETL Technology",No,High,"CUE 1x200-240V IP20 1,1kW; CUE 1x200-240V IP21 1,5kW; CUE 1x200-240V IP21 2,2kW; CUE 1x200-240V IP21 3,0kW; CUE 1x200-240V IP21 3,7kW"
"Fuji Electric Europe GmbH",87,"ETL Technology",No,High,"Frenic AQUA; Frenic AQUA; Frenic AQUA; Frenic AQUA; Frenic AQUA"
"Nidec Drives",80,"ETL Technology",No,High,"CT Unidrive M; CT Unidrive M; CT Unidrive M; CT Unidrive M; CT Unidrive M"
"Baltimore Aircoil Ltd.",77,"ETL Technology",No,High,"BAC Series CXVE Range; BAC Series CXVE Range; BAC Series CXVE Range; BAC Series CXVE Range; BAC Series CXVE Range"
"Dunphy Combustion Ltd",75,"ETL Technology",No,High,"Ratiotronic 6009; TA Series Burners; TA Series Burners; TA Series Burners; TA Series Burners"
"Electrolux Professional",65,"professional-foodservice",No,High,"Ecostore Premium (Hydrocarbon); Electrolux Professional Skyline 10 GN1/1 Electric 2-glass; Electrolux Professional Skyline 10 GN1/1 Electric 2-glass; Electrolux Professional Skyline 10 GN1/1 Electric 2-glass; Electrolux Professional Skyline 10 GN1/1 Electric 2-glass"
"BITZER Kühlmaschinenbau GmbH",62,"ETL Technology",No,High,"ECOLINE; ECOLINE; ECOLINE; ECOLINE; ECOLINE"
"Dalroad Norslo Limited",57,"ETL Technology",No,High,"G100; G100; G100; G100; G100"
"True Refrigeration UK Limited",56,"ETL Technology",No,High,"GDM; GDM; GDM; GDM; GDM"
"Froeling Heizkessel und Behaelterbau GmbH",53,"ETL Technology",No,High,"Fröling P4 100; Fröling P4 60; Fröling P4 80; Fröling PT4e; Fröling PT4e"
"Eaton - Power Quality Products",48,"ETL Technology",No,High,"Eaton 93PM; Eaton 93PM; Eaton 93PM; Eaton 93PM; Eaton 93PM"
"Bond Retail Services Ltd",47,"ETL Technology",No,High,"Eco Canterbury 70; Eco Canterbury 70; Eco Canterbury 70; Eco Chicago 1250; Eco Chicago 1875"
"Mitsubishi Electric UK - Automation Systems Division",43,"ETL Technology",No,High,"0.4kW VT (0.4kW CT) FR-D740 VSD; 0.75kW VT (0.75kW CT) FR-D740 VSD; 1.5kW VT (1.5kW CT) FR-D740 VSD; 2.2kW VT (2.2kW CT) FR-D740 VSD; 3.7kW VT (3.7kW CT) FR-D740 VSD"
"Ziehl Abegg UK Ltd",41,"ETL Technology",No,High,"Fcontrol; Fcontrol; Fcontrol; Fcontrol; Fcontrol"
"Hubbard Products Ltd",39,"ETL Technology",No,High,"HZB21-1B3; HZB21-3B3; HZB26-3B3; HZB30-3C2; HZB38-3C3"
"ETA Heiztechnik",38,"ETL Technology",No,High,"ETA HACK VR 333; ETA HACK VR 350; ETA HACK VR 500; ETA Hack VR 250; ETA PC 25"
"SCHOTT UK LIMITED",33,"ETL Technology",No,High,"AGD3; AGD3; AGD3; AGD3; AGD3"
"Limpsfield Combustion Engineering Co Ltd",32,"ETL Technology",No,High,"LCN100; LCN123; LCN15; LCN150; LCN175"
"AHT Cooling Systems GmbH",31,"ETL Technology",No,High,"ATHEN XL 175 (-) LDHF; ATHEN XL 210 (-) LDHF; ATHEN XL 210 (U) LDHF; ATHEN XL EC 207 (-) LDHF; ATHEN XL EC 207 (U) LDHF"
"Triton Showers (A division of Norcros Group Ltd)",31,"ETL Technology",No,High,"Amala 8.5kW Brushed Brass; Amala 8.5kW Brushed Copper; Amore 8.5kW Black; Amore 8.5kW Brushed Steel; Amore 8.5kW White"
"Treco Ltd",29,"ETL Technology",No,High,"Biocom 50 Box; Biocom 50 Box; Biocom 50 Box; Biocom 50 Box; Biocom 50 Flex"
"Carrier Linde Commercial Refrigeration",28,"ETL Technology",No,High,"Carrier Refrigeration all glass door; Carrier Refrigeration all glass door; Carrier Refrigeration all glass door; Carrier Refrigeration all glass door; Carrier Refrigeration all glass door"
"WIRTH RESEARCH LIMITED",27,"ETL Technology",No,High,"1065MM 0DEG ECOBLADE ASSEMBLY; 1065MM 10DEG ECOBLADE ASSEMBLY; 1065MM 20DEG ECOBLADE ASSEMBLY; 1080MM 0DEG ECOBLADE ASSEMBLY; 1080MM 10DEG ECOBLADE ASSEMBLY"
"Siemens plc",23,"ETL Technology",Yes,High,"110kW-4P-1LE15; 11kW-2P-1LE10; 11kW-2P-1LE15; 11kW-4P-1LE10; 11kW-4P-1LE15"
"Remeha Commercial",22,"ETL Technology",No,High,"Gas 210 Ace; Gas 210 Ace; Gas 220 Ace; Gas 220 Ace; Gas 220 Ace"
"Windhager UK",22,"ETL Technology",No,High,"BioWIN 2 Exklusiv; BioWIN 2 Exklusiv; BioWIN 2 Exklusiv; BioWIN 2 Exklusiv; BioWIN 2 Klassik"
"Alternative Heat Ltd",20,"ETL Technology",No,High,"HERZ Firematic; HERZ Firematic 100; HERZ Firematic 130; HERZ Firematic 149; HERZ Firematic 151"
"HPC Compressed Air Systems",20,"ETL Technology",No,High,"SIGMA AIR MANAGER 4.0; SIGMA AIR MANAGER 4.0; SIGMA AIR MANAGER 4.0; Secotec Refrigeration Dryer; Secotec Refrigeration Dryer"
"BOSCH THERMOTECHNOLOGY LTD",19,"ETL Technology",Yes,Medium,"Bosch GC7000F 200; Bosch GC7000F 200; Bosch GC7000F 250; Bosch GC7000F 250; Bosch GC7000F 300"
"POWER QUALITY EXPERT LIMITED",19,"ETL Technology",No,Medium,"Energy Analyser; Energy Analyser; Energy Analyser; Energy Analyser; Energy Analyser"
"Ideal Boilers Ltd",18,"ETL Technology",No,Medium,"Evomod; Evomod; Evomod; Evomod; Imax Xtra EL"
"APC By Schneider Electric",17,"ETL Technology",No,Medium,"Galaxy VX; Galaxy VX; Galaxy VX; Galaxy VX; Galaxy VX"
"APEN GROUP S.p.A.",17,"ETL Technology",No,Medium,"APEN GROUP LK Kondensa Condensing Warm Air Unit Heater; APEN GROUP LK Kondensa Condensing Warm Air Unit Heater; APEN GROUP LK Kondensa Condensing Warm Air Unit Heater; APEN GROUP LK Kondensa Condensing Warm Air Unit Heater; APEN GROUP PCH/new"
"AIC HEATING UK LIMITED",15,"ETL Technology",No,Medium,"Coilmaster; Coilmaster; Nesta; Nesta; Nesta"
"A.O. Smith Water Heaters",14,"ETL Technology",No,Medium,"BFC Condensing water heater; BFC Condensing water heater; BFC Condensing water heater; BFC Condensing water heater; BFC Condensing water heater"
"Powrmatic Ltd",14,"ETL Technology",No,Medium,"PCV+; PCV+; PCV+; PCV+; PCV+"
"Therma Screens Ltd",14,"ETL Technology",No,Medium,"External Non Slow Rise Manual Night Blind in Cassette Housing with easy Snap On Fixing and hook handle; External Non Slow Rise Manual Night Blind in Cassette Housing with easy Snap On Fixing and magnetic handle; External Slow Rise Manual Night Blind in Cassette Housing with easy Snap On Fixing and hook handle; External Slow Rise Manual Night Blind in Cassette Housing with easy Snap On Fixing and magnetic handle; Integral Motorised Adjoining Night Blind"
"Vokera Limited",14,"ETL Technology",No,Medium,"Condexa PRO 100; Condexa PRO 115; Condexa PRO 135; Condexa PRO 90; STEEL PRO POWER 114-2"
"Resource Data Management",13,"ETL Technology",No,Medium,"Data Manager DMTouch; Data Manager DMTouch; Data Manager DMTouch; Data Manager DMTouch; Data Manager DMTouch"
"Reznor (A division of Nortek Global HVAC)",13,"ETL Technology",No,Medium,"BTwin; BTwin; BTwin; BTwin; BTwin"
"XYLEM WATER SOLUTIONS UK LTD",12,"ETL Technology",No,Medium,"Flygt SmartRun SRC 311; Flygt SmartRun SRC 311; Flygt SmartRun SRC 311; Flygt SmartRun SRC 311; Flygt SmartRun SRC 311"
"ebm-papst UK Ltd",12,"ETL Technology",No,Medium,"RadiPac; RadiPac; RadiPac; RadiPac; RadiPac"
"Dravo Limited",11,"ETL Technology",No,Medium,"Condensaire LK condensing gas fired unit heater; Dravo Condensaire Condensing Gas Heater Module; Dravo Condensaire Condensing Gas Heater Module; Dravo Condensaire Condensing Gas Heater Module; Dravo Condensaire Condensing Gas Heater Module"
"SOLARFOCUS GmbH",11,"ETL Technology",No,Medium,"Pellet top; SOLARFOCUS CPC; SOLARFOCUS Sunny Line; Therminator II; Therminator II"
"Socomec U.K. Limited",11,"ETL Technology",No,Medium,"Delphys; Delphys; Delphys; Delphys; Delphys"
"TEV Ltd",11,"ETL Technology",No,Medium,"Marstair MRC+; Marstair MRC+; Marstair MRC+; Marstair MRC+; Marstair MRC+"
"Baxi Heating-Commercial",10,"ETL Technology",No,Medium,"Baxi Auriga HP 20T; Baxi Auriga HP 26T; Baxi Auriga HP 33T; Baxi Auriga HP 40T; Baxi Quinta Ace 115kW"
"RATIONAL UK LIMITED",10,"professional-foodservice",No,Medium,"RATIONAL iCombi Pro 10-2/1 Gas; RATIONAL iCombi Pro 20-2/1 Gas; RATIONAL iCombi Pro 6-1/1 Gas; RATIONAL iCombi Pro 6-2/1; RATIONAL iCombiPro 10-1/1 Electric"
"Thermofrost Cryo PLC",9,"ETL Technology",No,Low,"KD Scroll; KD Scroll; KD Scroll; KD Scroll; KD Scroll"
"Viessmann Ltd",9,"ETL Technology",No,Low,"Vitocrossal 100; Vitocrossal 100; Vitocrossal 100; Vitocrossal 100; Vitocrossal 100"
"Ygnis, a Group Atlantic Brand",9,"ETL Technology",No,Low,"Totaleco Condensing Economiser; Totaleco Condensing Economiser; Totaleco Condensing Economiser; Totaleco Condensing Economiser; Totaleco Condensing Economiser"
"VICTOR MANUFACTURING LIMITED",8,"ETL Technology",No,Low,"MAXI090VDMTECO+; MAXI090VDSTECO+; MAXI100VDMTECO+; MAXI100VDSTECO+; MAXI120VDMTECO+"
"MKN Maschinenfabrik Kurt Neubauer GmbH&Co.KG",8,"professional-foodservice",No,Low,"Gas combi steamer FlexiCombi® MagicPilot 6.2 MAXI; MKN FlexiCombi® MagicPilot 10.1; MKN FlexiCombi® MagicPilot 10.2 MAXI; MKN FlexiCombi® MagicPilot 20.1; MKN FlexiCombi® MagicPilot 20.2 MAXI"
"Andrews Water Heaters and Boilers",7,"ETL Technology",No,Low,"ECOflo; ECOflo; ECOflo; ECOflo; ECOflo"
"Daikin Europe N.V.",7,"ETL Technology",No,Low,"VAM-J; VAM-J; VAM-J; VAM-J; VAM-J"
"Elco Heating Solutions Limited",7,"ETL Technology",No,Low,"TRIGON XL; TRIGON XL; TRIGON XL; TRIGON XL; TRIGON XL"
"J&E Hall International Ltd.",7,"ETL Technology",No,Low,"Fusion Scroll; Fusion Scroll; Fusion Scroll; Fusion Scroll; Fusion Scroll"
"Piller UK Ltd",7,"ETL Technology",No,Low,"UNIBLOCK UBT+; UNIBLOCK UBT+; UNIBLOCK UBT+; UNIBLOCK UBT+; UNIBLOCK UBT+"
"Chauvin Arnoux UK Limited",6,"ETL Technology",No,Low,"Power Energy Logger; Power Harmonics Clamp; Power Harmonics Clamp; Qualistar+; Qualistar+"
"CoolSky Ltd",6,"ETL Technology",No,Low,"Apricus Solar Collector; Apricus Solar Collector; Apricus Solar Collector; Apricus Solar Collector; Apricus Solar Collector"
"HeatingSave Ltd",6,"ETL Technology",No,Low,"HeatingSave; HeatingSave; HeatingSave; HeatingSave; HeatingSave"
"JBG-2 Sp. z o.o.",6,"ETL Technology",No,Low,"RDK Kinetic; RDK Kinetic; RDK Kinetic; RDK Kinetic 3M0; RDK Kinetic 3M0"
"LIEBHERR",6,"ETL Technology",No,Low,"Bay 210low; Bay 250low; Cliff 156 – 2 door Full Glass Door Freezer; Cliff 234 ma-Full Glass Door Freezer; Piz 210"
"Showmaster Limited",6,"ETL Technology",No,Low,"Cisa 20-; Cisaplast; Cisaplast; Cisaplast; Cisaplast"
"Tektroniks Ltd",6,"ETL Technology",No,Low,"Case & Coldroom controller; Case & Coldroom controller; Case & Coldroom controller; Case & Coldroom controller; Pack Controller re badged for Next Controls"
"Weishaupt (UK) Limited",6,"ETL Technology",No,Low,"Monarch Series; Monarch Series; Monarch Series; Monarch Series; W Series"
"Winterwarm",6,"ETL Technology",No,Low,"HR10; HR20; HR30; HR40; HR50"
"AIRSYS (UK) LIMITED",5,"ETL Technology",No,Low,"Airsys Metrocool 10kw 1ph; Airsys Metrocool 10kw 3ph; Airsys Metrocool 7kw 1ph; Airsys Metrocool 7kw 3ph; FREECOOL-AD"
"Cochran Limited",5,"ETL Technology",No,Low,"Economiser; Economiser; Economiser; Economiser; Economiser"
"Hobart",5,"ETL Technology; Restaurant Equipment",Yes,Low,"AMX-14-02; AMX-14-02; FX-18-02; FX-18-02; Hobart A200 Commercial Mixer"
"KELDA SHOWERS LIMITED",5,"ETL Technology",No,Low,"Commercial Shower Panel TF + TMV2; Deluxe SHower Panel with eHandset; Deluxe Shower Panel; Void Flex Head Shower System HH; Void Flex Head Shower System RR"
"LINCAT LIMITED",5,"professional-foodservice",No,Low,"Invoq; Invoq; Invoq; Invoq; Invoq"
"LG",4,"Appliances; Office Equipment; professional-foodservice",No,Very Low,"LG 65" OLED TV; LG Front Load Washer; LG 27UL850-W 27" Monitor; LG LDE4413ST 30" Double Wall Oven"
"Samsung",4,"Appliances; Smart Home; professional-foodservice",No,Very Low,"Samsung 4-Door French Door Refrigerator; Samsung 55" QLED TV; Samsung SmartThings Hub; Samsung NE58K9430WS 30" Wall Oven"
"FLEXIM INSTRUMENTS UK LTD.",4,"ETL Technology",No,Very Low,"FLUXUS; FLUXUS; FLUXUS; FLUXUS"
"Hisa Engineering Ltd",4,"ETL Technology",No,Very Low,"Hisa; Hisa; Hisa; Hisa"
"Husky Refrigerators (UK) Ltd.",4,"ETL Technology; professional-foodservice",No,Very Low,"Double Door Bar Fridge; Double Door ECO Bar Fridge; Single Door Bar Fridge; Undercounter Stainless Steel Fridge"
"Organic Energy (UK) Ltd",4,"ETL Technology",No,Very Low,"OkoFEN; OkoFEN; OkoFEN; OkoFen Pellematic PES 10  3-10 kW"
"RECOUP ENERGY SOLUTIONS LTD",4,"ETL Technology",No,Very Low,"Easyfit+; Pipe HEX; Recoup Heatdeck shower tray; Recoup Pipe HEX Rd"
"Rinnai UK Ltd",4,"ETL Technology",No,Very Low,"Infinity N1300e; Infinity N1300i; Infinity N1600e; Infinity N1600i"
"Staycold Export Ltd",4,"ETL Technology",No,Very Low,"Rhino; Rhino; Rhino; Rhino"
"KitchenAid",3,"Appliances; Restaurant Equipment; professional-foodservice",No,Very Low,"KitchenAid Microwave; KitchenAid 5KSM150PSER Stand Mixer; KitchenAid KODE500ESS 30" Double Wall Oven"
"Adande Refrigeration",3,"ETL Technology",Yes,Very Low,"HCS R2 V1; VCS R2 V1; VCS R2 V1 (M1)"
"CPC UK",3,"ETL Technology",No,Very Low,"IR-em2; IR-em2; IR-em2"
"FUTURE MOTORS LIMITED",3,"ETL Technology",No,Very Low,"V Series Motor; V Series Motor; V Series Motor"
"INTELLIGENT FACILITY SOLUTIONS LIMITED",3,"ETL Technology",No,Very Low,"Turbo Force Branded Polished Fast Dry; Turbo Force Branded Satin Fast Dry; Turbo Force Branded White Fast Dry"
"Kooltech Ltd",3,"ETL Technology",No,Very Low,"INFRARED ASPIRATED 16 CHANNEL REFRIGERATION DETECTOR PANEL; INFRARED ASPIRATED 32 CHANNEL REFRIGERATION DETECTOR PANEL; INFRARED ASPIRATED 8 CHANNEL REFRIGERATION DETECTOR PANEL"
"LOXONE UK LIMITED",3,"ETL Technology",No,Very Low,"Miniserver; Miniserver Compact; Miniserver Go"
"MITA Cooling Technologies S.r.l.",3,"ETL Technology",No,Very Low,"MCE; MCE; MCE"
"Mikropor Makina Sanayi Ve Ticaret A.S.",3,"ETL Technology",No,Very Low,"MCY Series Cycling Thermal Mass Air Dryers; MCY Series Cycling Thermal Mass Air Dryers; MCY Series Cycling Thermal Mass Air Dryers"
"NAVIEN LTD",3,"ETL Technology",No,Very Low,"Navien System Boiler; Navien System Boiler; Navien System Boiler"
"Rayotec Ltd",3,"ETL Technology",No,Very Low,"Rayotec Ritter; Rayotec Ritter; Rayotec Ritter"
"SEELEY INTERNATIONAL (EUROPE) LIMITED",3,"ETL Technology",No,Very Low,"Breezair; Breezair; Breezair"
"Spirax Sarco Ltd",3,"ETL Technology",No,Very Low,"FREME 1-VA-FV6; FREME 2-VA-FV8; FREME 3-VA-FV8"
"TQ Environmental plc",3,"ETL Technology",No,Very Low,"GD231; GD231; Refrigeration Gas Detection System"
"The Splash Lab",3,"ETL Technology",No,Very Low,"Air Fury High Speed Hand Dryer; Air Fury High Speed Hand Dryer; Air Fury High Speed Hand Dryer"
"Vent-Axia",3,"ETL Technology",No,Very Low,"Tempest Hand Dryer; Tempest Polished Stainless Hand Dryer; Tempest Satin Stainless Hand Dryer"
"Dell",3,"Office Equipment",No,Very Low,"Dell OptiPlex 7090 Desktop; Dell UltraSharp U2720Q 27" Monitor; Dell XPS 13 9310 Laptop"
"HP",3,"Office Equipment",No,Very Low,"HP EliteDesk 800 G6 Desktop; HP LaserJet Pro M404n Printer; HP Spectre x360 13" Laptop"
"Electrolux",3,"professional-foodservice",No,Very Low,"ECO Store HP Premium by Electrolux Professional; ECO Store HP by Electrolux Professional; Electrolux EI30EF55QS 30" Single Wall Oven"
"UNOX UK LIMITED",3,"professional-foodservice",No,Very Low,"CHEFTOP MIND.Maps™ PLUS COUNTERTOP Electrical Combi-Steam Professional Oven; CHEFTOP MIND.Maps™ PLUS COUNTERTOP Electrical Combi-Steam Professional Oven; CHEFTOP MIND.Maps™ PLUS COUNTERTOP Electrical Combi-Steam Professional Oven"
"Frigidaire",2,"Appliances; professional-foodservice",No,Very Low,"Frigidaire Microwave; Frigidaire Gallery FGEW3065UF 30" Wall Oven"
"GE",2,"Appliances; professional-foodservice",No,Very Low,"GE Microwave; GE Profile P2B940YPFS 30" Double Wall Oven"
"Hisense",2,"Appliances; professional-foodservice",No,Very Low,"Hisense Microwave; Hisense Dishwasher"
"Maytag",2,"Appliances; professional-foodservice",No,Very Low,"Maytag Microwave; Maytag MWO5105BZ 30" Single Wall Oven"
"Panasonic",2,"Appliances",No,Very Low,"Panasonic Microwave; Panasonic NN-SN966S Countertop Microwave"
"Whirlpool",2,"Appliances; professional-foodservice",No,Very Low,"Whirlpool Microwave; Whirlpool WOD51HZES 30" Double Wall Oven"
"ATAG Commercial Ltd",2,"ETL Technology",No,Very Low,"ATAG XL; ATAG XL"
"Advanced Ergonomic Technologies Ltd",2,"ETL Technology",No,Very Low,"CAMEL Solar CS10; CAMEL Solar CS15"
"Autoflame Engineering",2,"ETL Technology",No,Very Low,"Mini Mk8 MM; Mk8 MM"
"Ingersoll Rand International Ltd",2,"ETL Technology",No,Very Low,"Ingersoll Rand System Automation; Ingersoll Rand System Automation"
"Novum (Overseas) Ltd",2,"ETL Technology",No,Very Low,"Grand Cayman; Grand Cayman"
"Pastorfrigor SpA",2,"ETL Technology",No,Very Low,"GENOVA TN OV ES DOORS; GENOVA TN OV ES DOORS"
"Pentland Wholesale Limited",2,"ETL Technology",No,Very Low,"BLIZZARD Beverage Cooler; BLIZZARD Under Counter Refrigerator"
"Potterton Commercial",2,"ETL Technology",No,Very Low,"Sirius FS 400; Sirius FS 525"
"Power Tecnique Ltd",2,"ETL Technology",No,Very Low,"eKasar XE; eKasar XE"
"Prefect Controls Ltd",2,"ETL Technology",No,Very Low,"Prefect IRUS; Prefect Irus"
"TECHNIK 2 LIMITED",2,"ETL Technology",No,Very Low,"Cellar Manager; Cellar Manager Plus"
"Philips",2,"Lighting; Smart Home",No,Very Low,"Philips LED Bulb 9W; Philips Hue Bridge"
"Apple",2,"Office Equipment; Smart Home",No,Very Low,"MacBook Pro 14" M1 Pro; Apple HomePod Mini"
"Bosch",2,"professional-foodservice",Yes,Very Low,"Bosch Dishwasher; Bosch HBL8453UC 30" Single Wall Oven"
"Eloma GmbH",2,"professional-foodservice",No,Very Low,"JOKER; JOKER"
"Amana",1,"Appliances",No,Very Low,"Amana Microwave"
"B&W",1,"Appliances",No,Very Low,"B&W Microwave"
"Bose",1,"Appliances",No,Very Low,"Bose Microwave"
"Definitive Technology",1,"Appliances",No,Very Low,"Definitive Technology Microwave"
"Denon",1,"Appliances",No,Very Low,"Denon Microwave"
"Dynaudio",1,"Appliances",No,Very Low,"Dynaudio Microwave"
"Dyson",1,"Appliances",No,Very Low,"Dyson V15 Detect"
"Haier",1,"Appliances",No,Very Low,"Haier Microwave"
"Harman Kardon",1,"Appliances",No,Very Low,"Harman Kardon Microwave"
"Insignia",1,"Appliances",No,Very Low,"Insignia Microwave"
"Instant Pot",1,"Appliances",No,Very Low,"Instant Pot Duo"
"JVC",1,"Appliances",No,Very Low,"JVC Microwave"
"KEF",1,"Appliances",No,Very Low,"KEF Microwave"
"Klipsch",1,"Appliances",No,Very Low,"Klipsch Microwave"
"Marantz",1,"Appliances",No,Very Low,"Marantz Microwave"
"MartinLogan",1,"Appliances",No,Very Low,"MartinLogan Microwave"
"Monitor Audio",1,"Appliances",No,Very Low,"Monitor Audio Microwave"
"Onn",1,"Appliances",No,Very Low,"Onn Microwave"
"Paradigm",1,"Appliances",No,Very Low,"Paradigm Microwave"
"Pioneer",1,"Appliances",No,Very Low,"Pioneer Microwave"
"RCA",1,"Appliances",No,Very Low,"RCA Microwave"
"Sharp",1,"Appliances",No,Very Low,"Sharp Microwave"
"Sony",1,"Appliances",No,Very Low,"Sony 75" 4K TV"
"TCL",1,"Appliances",No,Very Low,"TCL Microwave"
"Toshiba",1,"Appliances",No,Very Low,"Toshiba Microwave"
"Vizio",1,"Appliances",No,Very Low,"Vizio Microwave"
"Yamaha",1,"Appliances",No,Very Low,"Yamaha Microwave"
"AEROFOIL ENERGY LIMITED",1,"ETL Technology",No,Very Low,"Aerofoil"
"Alpha Therm Ltd",1,"ETL Technology",No,Very Low,"Alpha Ares Tec"
"BUILDING PRODUCTS DISTRIBUTORS LIMITED",1,"ETL Technology",No,Very Low,"Showersave QB1-21XE"
"DMS METERING LIMITED",1,"ETL Technology",No,Very Low,"Sontex Supercal 5S SuperStatic 440"
"ENERGY EFFICIENCY CONSULTANCY LTD",1,"ETL Technology",No,Very Low,"Mobile Energy Monitoring Unit"
"Enlighted Inc",1,"ETL Technology",No,Very Low,"Micro Sensor"
"FONDERIE SIME SPA",1,"ETL Technology",No,Very Low,"ALU HE 280"
"Guardian Controls International Ltd",1,"ETL Technology",No,Very Low,"Fan Speed Optimiser"
"Keston Boilers Ltd",1,"ETL Technology",No,Very Low,"Keston System"
"MCS NV",1,"ETL Technology",No,Very Low,"Spacewell Energy (Dexma)"
"Naked Energy Ltd.",1,"ETL Technology",No,Very Low,"VirtuHOT"
"Pilot Group Ltd",1,"ETL Technology",No,Very Low,"Energy Manager 2.0"
"Quintex Systems Ltd.",1,"ETL Technology",No,Very Low,"CHEETAH DCKV Energy Control"
"S & S NORTHERN LIMITED",1,"ETL Technology",No,Very Low,"Merlin"
"SolarUK",1,"ETL Technology",No,Very Low,"LaZer2"
"Stark Software International Ltd",1,"ETL Technology",No,Very Low,"Stark ID"
"Therm Tech Contracts Ltd",1,"ETL Technology",No,Very Low,"Stainless steel condensing economisers."
"Williams Refrigeration",1,"ETL Technology",No,Very Low,"Jade Upright"
"t-mac Technologies",1,"ETL Technology",No,Very Low,"t-mac aM&T"
"Canon",1,"Office Equipment",No,Very Low,"Canon imageRUNNER ADVANCE C3530 Printer"
"Cisco",1,"Office Equipment",No,Very Low,"Cisco Catalyst 2960 Switch"
"Lenovo",1,"Office Equipment",No,Very Low,"Lenovo ThinkCentre M90t Desktop"
"Netgear",1,"Office Equipment",No,Very Low,"Netgear GS108 Switch"
"Arctic Air",1,"Restaurant Equipment",No,Very Low,"Arctic Air Commercial Freezer"
"Berkel",1,"Restaurant Equipment",No,Very Low,"Berkel Commercial Meat Slicer"
"Beverage Air",1,"Restaurant Equipment",No,Very Low,"Beverage Air BM-23 Commercial Refrigerator"
"Cuisinart",1,"Restaurant Equipment",No,Very Low,"Cuisinart SM-50 Stand Mixer"
"Garland",1,"Restaurant Equipment",No,Very Low,"Garland GR6 6-Burner Gas Range"
"Hamilton Beach",1,"Restaurant Equipment",No,Very Low,"Hamilton Beach Commercial Blender"
"Hoshizaki",1,"Restaurant Equipment",No,Very Low,"Hoshizaki KM-500MAJ Commercial Refrigerator"
"Traulsen",1,"Restaurant Equipment",No,Very Low,"Traulsen G-2 Commercial Freezer"
"True",1,"Restaurant Equipment",No,Very Low,"True T-49 4-Door Commercial Refrigerator"
"Vulcan",1,"Restaurant Equipment",No,Very Low,"Vulcan VC4GD 4-Burner Gas Range"
"Wolf",1,"Restaurant Equipment",No,Very Low,"Wolf CR3040 30" Gas Range"
"Amazon",1,"Smart Home",No,Very Low,"Echo Dot 4th Gen"
"Belkin",1,"Smart Home",No,Very Low,"Wemo Smart Plug"
"Google",1,"Smart Home",No,Very Low,"Google Nest Hub"
"Nest",1,"Smart Home",No,Very Low,"Nest Learning Thermostat"
"Ring",1,"Smart Home",No,Very Low,"Ring Video Doorbell"
"TP-Link",1,"Smart Home",No,Very Low,"TP-Link Kasa Smart Plug"